0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths,Total Investment Costs,Expected Annual Costs,Scenario
0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2610870.8725423617,6320800.0,334500000.0,0.0,0.0022551440847297,340820800.0,2610870.8725423617,Favourable_1
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,0,0,2637755.1499496987,59104221.36630872,92100000.0,0.0,0.0023001958099069,151204221.36630872,2637755.1499496987,Favourable_1
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,5147511.068408318,51657302.02316066,213300000.0,0.0,0.0035790102066613,264957302.02316067,5147511.068408318,Favourable_1
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,0,0,3530075.085953492,57982893.88922245,92100000.0,0.0,0.0027813577432009,150082893.88922244,3530075.085953492,Favourable_1
0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2644476.219301534,26620087.93698693,303800000.0,0.0,0.0023114587412012,330420087.9369869,2644476.219301534,Favourable_1
0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,2624313.01124603,52668581.0,213300000.0,0.0,0.0022776699473183,265968581.0,2624313.01124603,Favourable_1
