Policy,Expected Annual Damage Mean,Expected Annual Damage Std,Expected Annual Damage CV,Expected Annual Damage Max Regret,Expected Annual Damage Mean Regret,Expected Annual Damage Rank Std,Dike Investment Costs Mean,Dike Investment Costs Std,Dike Investment Costs CV,Dike Investment Costs Max Regret,Dike Investment Costs Mean Regret,Dike Investment Costs Rank Std,RfR Investment Costs Mean,RfR Investment Costs Std,RfR Investment Costs CV,RfR Investment Costs Max Regret,RfR Investment Costs Mean Regret,RfR Investment Costs Rank Std,Evacuation Costs Mean,Evacuation Costs Std,Evacuation Costs CV,Evacuation Costs Max Regret,Evacuation Costs Mean Regret,Evacuation Costs Rank Std,Expected Number of Deaths Mean,Expected Number of Deaths Std,Expected Number of Deaths CV,Expected Number of Deaths Max Regret,Expected Number of Deaths Mean Regret,Expected Number of Deaths Rank Std,Total Costs Mean,Total Costs Std,Total Costs CV,Total Costs Max Regret,Total Costs Mean Regret,Total Costs Rank Std,Satisficing Count,Total Scenarios
policy NEW RWS 1,463471329.0561289,568220074.5413795,1.2260091162458182,2865569379.3617578,357614889.5050565,0.15453116151728066,65041277.87321207,2.236292605056108e-08,3.438266710281147e-16,0.0,0.0,0.0,236500000.0,0.0,0.0,0.0,0.0,0.0,25777.624937109656,29097.90159892317,1.128804599722204,118159.44741689225,19779.236524837124,0.15453116151728066,0.07184859909950737,0.10008872620454592,1.3930504903223948,0.3804439522974355,0.05690459632441054,0.15453116151728066,765038384.5542781,568247705.6221133,0.7427701891757788,2340941558.0453176,147557261.68253997,0.7859502005329078,0,1000
policy NEW RWS 2,209177785.3194549,410803060.1634207,1.9638942994641855,2806568046.8998394,103321345.76838247,0.3215811163834319,116697859.66564868,4.472585210112216e-08,3.8326197437781897e-16,51656581.79243659,51656581.79243659,0.0,473000000.0,0.0,0.0,236500000.0,236500000.0,0.0,11455.994192404562,21524.496931023143,1.8788851119786791,94482.88258369273,5457.605780132026,0.3215811163834319,0.0321998472941863,0.07038580088118793,2.185904803775145,0.32884258712500053,0.017255844519089472,0.3215811163834319,798887100.9792958,410823928.9169574,0.5142452899957443,2570094428.825821,181405978.1075578,0.448633784140553,0,1000
policy NEW RWS 3,105856439.5510724,262880092.07997328,2.4833641977268837,0.0,0.0,0.0,116697859.66564868,4.472585210112216e-08,3.8326197437781897e-16,51656581.79243659,51656581.79243659,0.0,709500000.0,0.0,0.0,473000000.0,473000000.0,0.0,5998.388412272534,14348.872487889666,2.3921212668609915,0.0,0.0,0.0,0.01494400277509683,0.04322361702317314,2.8923721223608427,0.0,0.0,0.0,932060297.6051333,262894281.66247657,0.28205716125659025,524656581.79243666,314579174.7333952,0.6141401860879714,0,1000
