epsilon_progress,nfe
0,0
34,100
219,1100
394,2100
555,3100
693,4100
785,5100
868,6100
944,7100
999,8100
1034,9100
1072,10552
1228,12024
1316,13496
1395,14968
1454,16440
1525,17912
1581,19384
1630,20856
1665,22328
1699,23800
1734,25272
1777,26744
1813,28216
1833,29688
1852,31160
1870,32632
1900,34104
1919,35576
1934,37048
1956,38520
1972,39992
1988,41464
1998,42936
2010,44408
2020,45880
2037,47352
2046,48824
2053,50296
2061,51768
2070,53240
2078,54712
2085,56184
2092,57656
2099,59128
2104,60600
2108,62072
2122,63544
2129,65016
2134,66488
2140,67960
2146,69432
2152,70904
2157,72376
2160,73848
2166,75320
2174,76792
2181,78264
2188,79736
2195,81208
2200,82680
2204,84152
2204,85187
2235,86567
2255,87947
2274,89327
2285,90707
2301,92087
2313,93467
2318,94847
2329,96227
2329,97607
2332,98987
2336,100367
2342,101747
2347,103127
2349,104507
2354,105887
2357,107267
2363,108647
2367,110027
2373,111407
2377,112787
2382,114167
2386,115547
2393,116927
2395,118307
2398,119687
2401,121067
2402,122447
2404,123827
2408,125207
2410,126587
2411,127967
2412,129347
2417,130727
2418,132107
2422,133487
2422,134867
2426,136247
2430,137627
2431,139007
2435,140387
2441,141767
2443,143147
2446,144527
2451,145907
2451,147287
2455,148667
2460,150047
