epsilon_progress,nfe
0,0
45,100
294,1100
454,2100
560,3100
663,4100
748,5100
832,6100
904,7100
953,8100
999,9100
1033,10669
1244,12453
1378,14237
1481,16021
1594,17805
1689,19589
1791,21373
1882,23157
1990,24941
2088,26725
2165,28509
2258,30293
2350,32077
2423,33861
2491,35645
2554,37429
2604,39213
2666,40997
2721,42781
2766,44565
2818,46349
2846,48133
2891,49917
2928,51701
2968,53485
3007,55269
3037,57053
3061,58837
3096,60621
3113,62405
3135,64189
3173,65973
3195,67757
3221,69541
3251,71325
3271,73109
3298,74893
3321,76677
3330,78461
3351,80245
3371,82029
3395,83813
3419,85597
3440,87381
3464,89165
3488,90949
3502,92733
3515,94517
3530,96301
3545,98085
3564,99869
3564,101219
3610,103019
3654,104819
3684,106619
3713,108419
3743,110219
3769,112019
3785,113819
3809,115619
3826,117419
3844,119219
3863,121019
3875,122819
3893,124619
3912,126419
3920,128219
3938,130019
3953,131819
3965,133619
3975,135419
3987,137219
3996,139019
4005,140819
4019,142619
4026,144419
4037,146219
4043,148019
4054,149819
4060,151619
