epsilon_progress,nfe
0,0
29,100
209,1100
367,2100
519,3100
660,4100
743,5100
806,6100
882,7100
938,8100
963,9100
991,10702
1217,12574
1379,14446
1487,16318
1611,18190
1718,20062
1825,21934
1935,23806
2030,25678
2121,27550
2204,29422
2286,31294
2350,33166
2409,35038
2464,36910
2499,38782
2551,40654
2606,42526
2646,44398
2680,46270
2715,48142
2756,50014
2797,51886
2820,53758
2854,55630
2879,57502
2904,59374
2929,61246
2961,63118
2986,64990
3006,66862
3035,68734
3057,70606
3081,72478
3108,74350
3132,76222
3148,78094
3176,79966
3194,81838
3215,83710
3242,85582
3259,87454
3284,89326
3305,91198
3322,93070
3341,94942
3357,96814
3363,98686
3385,100558
3400,102430
3411,104302
3411,106666
3529,109818
3631,112970
3710,116122
3796,119274
3855,122426
3916,125578
3975,128730
4018,131882
4061,135034
4100,138186
4141,141338
4178,144490
4204,147642
4243,150794
