Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
576776952.4461279,0,0.0,0.0,1.0071888095786972
965900805.7828878,0,0.0,0.0,0.7304462382108454
2299171456.3188014,0,0.0,0.0,1.3274627172416786
1280611990.0347433,0,0.0,0.0,0.9723257736366765
914427871.6816388,0,0.0,0.0,1.0371536765821499
1974005012.373368,0,0.0,0.0,1.819012947735735
1787896090.9835608,0,0.0,0.0,2.603381103238189
324761119.76906407,0,0.0,0.0,0.1962656170792521
3327383581.6585374,0,0.0,0.0,3.699259826477184
4783546841.847004,0,0.0,0.0,4.492175768305469
2492688778.7460117,0,0.0,0.0,1.5936837490186306
1722442701.0562987,0,0.0,0.0,1.565263372757113
5229938695.435223,0,0.0,0.0,4.45584834142376
984901837.0815638,0,0.0,0.0,0.8957449452763495
1900599128.875959,0,0.0,0.0,3.034962791443122
2725888199.2623553,0,0.0,0.0,1.6356046894856435
1719631861.700215,0,0.0,0.0,1.4800764666178354
1726153146.1505384,0,0.0,0.0,3.0253637919767424
1222149051.8678908,0,0.0,0.0,0.7761021349736722
1738580649.91075,0,0.0,0.0,3.0769238397655547
329660908.3159918,0,0.0,0.0,0.32366046141951044
1762285900.970061,0,0.0,0.0,1.1622478315597125
202914785.8492934,0,0.0,0.0,0.2541561444909673
945290109.9156896,0,0.0,0.0,0.7578971550054814
2562908116.394135,0,0.0,0.0,1.587787549917342
946703668.1137643,0,0.0,0.0,0.8065252398398448
2283158889.41841,0,0.0,0.0,1.8070630540230943
383562181.2640439,0,0.0,0.0,0.3705683685465319
1169832346.5230095,0,0.0,0.0,0.9210796583948825
3384507388.263502,0,0.0,0.0,4.139741029066572
778736853.2124586,0,0.0,0.0,0.70515870449493
2342526987.5661974,0,0.0,0.0,1.6377095691061188
2751172294.3773737,0,0.0,0.0,2.085952132131862
2189566756.7896595,0,0.0,0.0,1.617864177844325
3299252510.239551,0,0.0,0.0,1.7977312723293188
514691196.6569417,0,0.0,0.0,0.45247485758012895
1697767616.02058,0,0.0,0.0,2.648648711825931
729906638.4538628,0,0.0,0.0,0.6942393067144874
1891344646.5212543,0,0.0,0.0,1.6201404883789543
2385351430.7464576,0,0.0,0.0,1.9484350952254395
4567235934.561477,0,0.0,0.0,4.326328107517446
103757263.96410027,0,0.0,0.0,0.07308588233966035
2238260263.6451797,0,0.0,0.0,1.225529624597552
501493917.0096824,0,0.0,0.0,0.5548655007266439
995268218.8529434,0,0.0,0.0,0.6811402775734935
316413212.8225247,0,0.0,0.0,0.2589075979352956
869757498.08205,0,0.0,0.0,0.8131244726929471
2584991548.929922,0,0.0,0.0,3.48848200491797
2441979461.1270075,0,0.0,0.0,1.7912392152189507
1491217548.487028,0,0.0,0.0,2.2644843683447364
299564488.4741407,0,0.0,0.0,0.2658686076345442
2997139687.921233,0,0.0,0.0,3.1020732528416413
129856655.05270046,0,0.0,0.0,0.14266768811429892
1869669811.4043205,0,0.0,0.0,1.5971743568778143
2290559934.002157,0,0.0,0.0,1.5641431484213788
930700724.3162212,0,0.0,0.0,0.7411835587251072
282238255.89028066,0,0.0,0.0,0.295017195122094
1866794525.0716453,0,0.0,0.0,1.5939035902128698
411401626.5844093,0,0.0,0.0,0.7916904822061966
2315723851.4864,0,0.0,0.0,1.6228874821210144
408944204.9988226,0,0.0,0.0,0.4232368733785038
264865950.3393961,0,0.0,0.0,0.2107612543537491
2584272585.673622,0,0.0,0.0,2.001000252381023
2460393729.8286843,0,0.0,0.0,2.2276141179165476
168624128.72776434,0,0.0,0.0,0.17688975822081104
1168328243.826647,0,0.0,0.0,1.6986052489189238
1239197258.3415422,0,0.0,0.0,1.105622479562929
1848546588.4000487,0,0.0,0.0,2.4032780623199033
160559883.27664566,0,0.0,0.0,0.25828089167616275
1321349021.7202113,0,0.0,0.0,2.360765542022932
1163299428.9730208,0,0.0,0.0,2.888946318020556
2604265779.490158,0,0.0,0.0,1.6204265875325117
2723408472.1906333,0,0.0,0.0,3.3083768590940443
165549171.96864066,0,0.0,0.0,0.12622058086512933
1271662101.710293,0,0.0,0.0,1.0271410446528355
354863317.37439084,0,0.0,0.0,0.6006766737570239
1396739281.9270747,0,0.0,0.0,3.0128817787223787
663918037.5013971,0,0.0,0.0,0.5685266719107283
2212923337.831008,0,0.0,0.0,1.6013084283895376
233567083.2885964,0,0.0,0.0,0.15459989381970263
1734070881.0965543,0,0.0,0.0,3.2020702842604063
1911965749.3926556,0,0.0,0.0,3.0796679894394994
1881116737.5615916,0,0.0,0.0,1.6081731753579003
3706987113.233571,0,0.0,0.0,2.3043505798868
260471689.09483296,0,0.0,0.0,0.24876187938084032
1939029143.8230748,0,0.0,0.0,3.2507004583400656
2224487963.368182,0,0.0,0.0,3.104093763724574
2127500838.0752501,0,0.0,0.0,3.2009393415313525
2134850273.6793668,0,0.0,0.0,2.8205152753888356
934607496.1261563,0,0.0,0.0,0.6927569834433074
585432819.7507036,0,0.0,0.0,0.49330372911105325
1499534619.2797906,0,0.0,0.0,3.112498916664298
873017003.130836,0,0.0,0.0,1.7391919803048235
217388511.926483,0,0.0,0.0,0.4092387384530047
2577634703.113172,0,0.0,0.0,1.5992115875029573
2531410194.267232,0,0.0,0.0,2.011933680191157
1553046668.598089,0,0.0,0.0,1.912443140127124
973609319.9010086,0,0.0,0.0,1.8469400023128264
75774454.1418535,0,0.0,0.0,0.1053780332348927
2301046249.655578,0,0.0,0.0,1.6270151480087207
4041647722.2613754,0,0.0,0.0,4.1277003976943885
582834205.6605074,0,0.0,0.0,0.4479937079004486
549754804.9728482,0,0.0,0.0,0.43860492991525346
2843052389.4116077,0,0.0,0.0,1.6119262080616399
3195465144.2684965,0,0.0,0.0,2.2469533298942252
2443744053.311345,0,0.0,0.0,3.542276635585763
1549069890.848434,0,0.0,0.0,3.001650924825688
1075707671.302335,0,0.0,0.0,2.439767209201166
2463854156.422091,0,0.0,0.0,1.602832323147373
230483311.01450634,0,0.0,0.0,0.15373373730850592
95125460.43073334,0,0.0,0.0,0.08858018569772119
1925955304.9336352,0,0.0,0.0,1.6037318190339915
852128764.4118108,0,0.0,0.0,0.9705131384242076
1620148962.1001296,0,0.0,0.0,1.4335692869999146
544712932.213328,0,0.0,0.0,0.8545454878580122
