Policy,Expected Annual Damage Mean,Expected Annual Damage Std,Expected Annual Damage CV,Expected Annual Damage Max Regret,Expected Annual Damage Mean Regret,Expected Annual Damage Rank Std,Dike Investment Costs Mean,Dike Investment Costs Std,Dike Investment Costs CV,Dike Investment Costs Max Regret,Dike Investment Costs Mean Regret,Dike Investment Costs Rank Std,RfR Investment Costs Mean,RfR Investment Costs Std,RfR Investment Costs CV,RfR Investment Costs Max Regret,RfR Investment Costs Mean Regret,RfR Investment Costs Rank Std,Evacuation Costs Mean,Evacuation Costs Std,Evacuation Costs CV,Evacuation Costs Max Regret,Evacuation Costs Mean Regret,Evacuation Costs Rank Std,Expected Number of Deaths Mean,Expected Number of Deaths Std,Expected Number of Deaths CV,Expected Number of Deaths Max Regret,Expected Number of Deaths Mean Regret,Expected Number of Deaths Rank Std,Total Costs Mean,Total Costs Std,Total Costs CV,Total Costs Max Regret,Total Costs Mean Regret,Total Costs Rank Std,Satisficing Count,Total Scenarios
policy 0,684827403,977159718,1.426870061,5202135799,587703478.5,2.034830837,96082429.28,1.49E-08,1.55E-16,56230223.87,56230223.87,0,146000000,0,0,30700000,30700000,0,0,0,inf,0,0,0,0.649580961,0.900264715,1.385916105,4.972398672,0.636250431,1.74950987,926909832.3,977159718,1.05421227,4974225025,478311272.9,2.416208199,0,1000
policy 1,850330412.2,1029666267,1.210901376,5435791010,753206487.7,2.112552693,86988332.9,2.98E-08,3.43E-16,47136127.48,47136127.48,0,115300000,0,0,0,0,0,0,0,inf,0,0,0,0.910398071,1.083911296,1.190590501,5.060387191,0.897067542,2.00104052,1052618745,1029666267,0.97819488,5174173858,604020185.7,3.121567424,0,1000
policy 2,1321138254,1301036931,0.984784846,4146936206,1224014329,1.523785392,43916757.1,7.45E-09,1.70E-16,4064551.685,4064551.685,0,182600000,0,0,67300000,67300000,0,0,0,inf,0,0,0,0.925210406,0.847808284,0.916341059,2.75050506,0.911879877,1.438556723,1547655011,1301036931,0.840650482,3971828951,1099056452,2.577066602,0,1000
policy 3,1306392780,1304396811,0.998472152,4080571693,1209268856,1.112343611,39852205.42,1.49E-08,3.74E-16,0,0,0,213300000,0,0,98000000,98000000,0,0,0,inf,0,0,0,0.91084172,0.851499658,0.934849206,2.63432339,0.89751119,1.054080683,1559544986,1304396811,0.836395758,3998464399,1110946426,2.327018482,0,1000
policy 4,1306076496,1304546457,0.998828523,4080571693,1208952571,1.102745232,41093993.08,0,0,1241787.666,1241787.666,0,213300000,0,0,98000000,98000000,0,0,0,inf,0,0,0,0.911373389,0.851132255,0.93390071,2.63432339,0.898042859,0.97966052,1560470489,1304546457,0.835995597,3999706187,1111871929,2.460677536,0,1000
policy 5,1263287952,1321414815,1.046012362,4051652400,1166164028,1.362911783,43916757.1,7.45E-09,1.70E-16,4064551.685,4064551.685,0,334500000,0,0,219200000,219200000,0,0,0,inf,0,0,0,0.872499729,0.866367091,0.992971186,2.628590031,0.8591692,1.071647063,1641704709,1321414815,0.804904078,4123728951,1193106150,2.059833468,0,1000
policy 6,501113310.8,901420131.4,1.798834938,3597147743,403989386.3,1.415344198,92448482.98,1.49E-08,1.61E-16,52596277.57,52596277.57,0,388400000,0,0,273100000,273100000,0,5076.642545,6103.07985,1.202188217,36753.61626,5076.642545,1.09938148,0.1226846,0.208925921,1.702951487,0.653860499,0.10935407,0.91630487,981966870.4,901425120.2,0.917979157,3614108075,533368311,2.153173276,0,1000
policy 7,226367094.6,580481866,2.564338545,3209948537,129243170.1,0.854072854,118188608.4,2.98E-08,2.52E-16,78336402.98,78336402.98,0,351800000,0,0,236500000,236500000,0,6581.453521,10331.69525,1.569819679,80533.86564,6581.453521,2.089297529,0.019981238,0.04575503,2.289899597,0.194585731,0.006650709,0.471165573,696362284.4,580489575.9,0.833602837,3216063659,247763725.1,2.577094569,0,1000
policy 8,494684394.8,904232211,1.827897181,3562014490,397560470.4,1.002217761,115793590.8,2.98E-08,2.58E-16,75941385.39,75941385.39,0,267200000,0,0,151900000,151900000,0,4651.132434,6206.173154,1.334335937,39046.72273,4651.132434,1.327337872,0.124007693,0.210409729,1.696747381,0.720293864,0.110677164,0.737311079,877682636.8,904237354.2,1.030255489,3481119046,429084077.4,1.628143068,0,1000
policy 9,117240008.6,336251209.4,2.868058554,1422113235,20116084.11,1.382709979,118004306.6,0,0,78152101.16,78152101.16,0,345900000,0,0,230600000,230600000,0,2510.764824,4976.085549,1.981900296,52379.47715,2510.764824,2.426992025,0.038598067,0.097397752,2.523384192,0.922919645,0.025267537,1.156325252,581146825.9,336254744.3,0.578605491,1562599535,132548266.5,2.601488563,0,1000
