A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
118,212.02628424465087,1.0,0.13675211177763927,110.52786739974462,10.0,0.5737965278938096,183.12352122759026,10.0,0.15768073157397083,164.93650642445272,1.0,0.7299999326313291,174.9033085930476,1.5,0.5628873191011706,4.5,4.5,2.5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1000,policy NEW RWS 1,dikesnet,490671602.4267769,65041277.873212054,236500000.0,30959.850857742393,0.12157600563931933
92,138.59279742865678,10.0,0.7399765118833276,206.47984127683856,1.5,0.8885231281890664,338.6032066905183,1.5,0.13952955609878753,309.8245445509435,1.5,0.5547738368732521,164.52179363451813,10.0,0.8954351923337444,3.5,3.5,4.5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1001,policy NEW RWS 1,dikesnet,561599677.9530398,65041277.873212054,236500000.0,36905.221103607444,0.14327270058594754
106,112.37294562338562,1.5,0.634248938985222,311.7941556770341,10.0,0.8201683259750059,235.80276059038385,10.0,0.9148145385801111,272.27261120012594,1.5,0.7589903015645014,146.35005927551967,10.0,0.32364707976697205,1.5,1.5,4.5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1002,policy NEW RWS 1,dikesnet,155247899.781754,65041277.873212054,236500000.0,8854.979440720364,0.015130234071697076
19,177.19973353211455,1.5,0.10319998335250642,220.65226094214265,1.0,0.26611667515870535,321.8702342469418,1.0,0.8410170795846788,127.16311116936083,1.0,0.5334889001542747,190.710956779201,1.0,0.07196094104376818,1.5,1.5,2.5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1003,policy NEW RWS 1,dikesnet,662631630.501821,65041277.873212054,236500000.0,34944.183213637356,0.05621997207622494
114,238.38689874854734,1.5,0.1941091569190714,182.49787770172472,1.5,0.3538379388683203,259.44329013654686,1.0,0.21262974456301548,104.3769922365551,1.5,0.14459125298292586,87.1893576142746,1.5,0.6484989703967321,4.5,4.5,1.5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1004,policy NEW RWS 1,dikesnet,330724359.47970504,65041277.873212054,236500000.0,18635.21674605033,0.06762899107437256
59,178.7855980524272,1.5,0.8336589890495273,290.55285993417954,1.0,0.6670995186160626,92.12609647085873,1.5,0.8140434225701201,200.9113644532013,1.5,0.8167656157745692,339.23280460080366,10.0,0.573131132935202,3.5,2.5,3.5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1005,policy NEW RWS 1,dikesnet,44092754.921400264,65041277.873212054,236500000.0,2982.3783724591576,0.005500197543647518
84,71.43812060573049,1.5,0.21683359803218263,90.64916206731372,10.0,0.9091894419596459,260.40580965555984,10.0,0.2035077318708949,211.76663902647852,1.5,0.6178459333395903,111.40685642901275,10.0,0.1503908662771044,4.5,2.5,3.5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1006,policy NEW RWS 1,dikesnet,327054605.95552933,65041277.873212054,236500000.0,20647.126810875314,0.06975464622289672
16,108.97402559127332,1.5,0.6010094498066105,313.82203783854084,1.5,0.05470757665251253,206.51550384070472,10.0,0.39185079308490894,247.24344512901087,10.0,0.5467712439042512,53.77404404074177,10.0,0.28149568018988835,1.5,4.5,3.5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1007,policy NEW RWS 1,dikesnet,834067536.7742183,65041277.873212054,236500000.0,51148.67149654552,0.08872440002944486
108,110.28034119871093,1.0,0.9981204014908869,200.21619838556165,10.0,0.05257071759634577,86.20223924151722,1.0,0.9208274827966936,65.94382993353454,1.5,0.4604283936409738,93.7165505966179,10.0,0.7595051157470581,1.5,1.5,1.5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1008,policy NEW RWS 1,dikesnet,1101205436.593522,65041277.873212054,236500000.0,47808.54137071043,0.0822210353610477
58,311.7460125453762,1.5,0.04736346538214845,208.21875080155883,1.5,0.45687355064445967,264.55406396481146,10.0,0.4692534698548032,73.77837025440061,1.0,0.08677692985757696,261.1589895484592,1.0,0.9108129860941758,2.5,2.5,3.5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1009,policy NEW RWS 1,dikesnet,69676467.655881,65041277.873212054,236500000.0,3753.095625522832,0.010412074293727765
