A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2
87,44.01887380562141,10.0,0.0820575660658151,52.75271278027772,1.5,0.7218764812658865,93.4508121458835,10.0,0.936411029699387,312.1431935271438,10.0,0.3923527863555803,225.88318764113367,1.0,0.7651577666511263,2.5,1.5,3.5
84,229.33217376407072,10.0,0.2313147510491542,186.9843086197184,10.0,0.3161439531128338,155.5585957510919,1.0,0.2008703886662755,336.2155163333539,1.5,0.7008093368058532,80.49984167283344,1.0,0.6764056459925339,4.5,1.5,2.5
10,308.1784110380802,1.0,0.8391806957844341,170.7326229095629,10.0,0.4566028395527068,67.59524032027741,1.5,0.0119834424339934,237.2078391223248,1.0,0.1925118638106544,88.72377881620933,1.0,0.7301935514378626,4.5,4.5,1.5
115,265.4692365557868,10.0,0.6743321071705565,119.41371711763436,1.0,0.3663194261662873,34.663836570001195,10.0,0.0602756834579016,322.62729790182175,1.5,0.1631393566986607,326.4386389770096,1.5,0.4180088453226065,1.5,3.5,2.5
