epsilon_progress,nfe
0,0
24,100
157,1100
302,2100
450,3100
581,4100
675,5100
761,6100
810,7100
854,8100
897,9100
927,10417
1043,11529
1119,12641
1174,13753
1224,14865
1269,15977
1298,17089
1330,18201
1350,19313
1379,20425
1398,21537
1414,22649
1432,23761
1447,24873
1459,25985
1473,27097
1485,28209
1491,29321
1499,30433
1512,31545
1520,32657
1525,33769
1531,34881
1541,35993
1548,37105
1561,38217
1570,39329
1571,40441
1575,41553
1582,42665
1587,43777
1596,44889
1598,46001
1600,47113
1605,48225
1613,49337
1618,50449
1619,51561
1624,52673
1627,53785
1629,54897
1632,56009
1639,57121
1645,58233
1647,59345
1650,60457
1651,61569
1657,62681
1659,63793
1660,64905
1664,66017
1670,67655
1677,69527
1683,71399
1687,73271
1690,75143
1691,77015
1696,78887
1698,80759
1702,82631
1703,84503
1707,86375
1707,88247
1708,90119
1714,91991
1716,93863
1719,95735
1720,97607
1724,99479
1728,101351
1729,103223
1731,105095
1734,106967
1738,108839
1738,110711
1739,112583
1739,114455
1739,116327
1741,118199
1742,120071
1743,121943
1744,123815
1744,125687
1744,127559
1747,129431
1749,131303
1749,133175
1750,135047
1750,136919
1750,138791
1751,140663
1752,142535
1753,144407
1754,146279
1754,148151
1755,150023
