epsilon_progress,nfe
0,0
46,100
264,1100
444,2100
588,3100
708,4100
803,5100
870,6100
923,7100
967,8100
1019,9100
1067,10834
1218,11946
1335,13058
1416,14170
1517,15282
1591,16394
1672,17506
1748,18618
1822,19730
1886,20842
1951,21954
2024,23066
2085,24178
2147,25290
2202,26402
2257,27514
2302,28626
2355,29738
2416,30850
2482,31962
2530,33074
2582,34186
2632,35298
2704,36410
2761,37522
2807,38634
2843,39746
2879,40858
2921,41970
2970,43082
3013,44194
3056,45306
3091,46418
3124,47530
3155,48642
3191,49754
3216,50866
3248,51978
3281,53090
3326,54202
3351,55314
3381,56426
3402,57538
3431,58650
3465,59762
3500,60874
3531,61986
3559,63098
3584,64210
3604,65322
3620,66434
3648,67546
3681,68658
3695,69770
3711,70882
3727,71994
3752,73106
3777,74218
3792,75330
3809,76442
3828,77554
3851,78666
3877,79778
3890,80890
3912,82002
3935,83114
3955,84226
3967,85338
3980,86450
3999,87562
4014,88674
4026,89786
4042,90898
4070,92010
4084,93122
4107,94234
4129,95346
4138,96458
4149,97570
4166,98682
4177,99794
4190,100906
4206,102018
4219,103130
4228,104242
4235,105354
4248,106466
4266,107578
4279,108690
4290,109802
4310,110914
4319,112026
4328,113138
4339,114250
4352,115362
4363,116474
4373,117586
4382,118698
4388,119810
4397,120922
4409,122034
4409,124404
4522,127564
4627,130724
4730,133884
4806,137044
4860,140204
4917,143364
4979,146524
5038,149684
5081,152844
