epsilon_progress,nfe
0,0
24,100
215,1100
369,2100
520,3100
638,4100
729,5100
801,6100
877,7100
944,8100
1010,9100
1092,10534
1214,11958
1291,13382
1353,14806
1399,16230
1440,17654
1484,19078
1517,20502
1544,21926
1567,23350
1591,24774
1606,26198
1616,27622
1631,29046
1642,30470
1651,31894
1656,33318
1668,34742
1671,36166
1676,37590
1686,39014
1689,40438
1699,41862
1705,43286
1707,44710
1717,46134
1724,47558
1734,48982
1740,50406
1743,51830
1751,53254
1754,54678
1755,56102
1755,57526
1759,58950
1765,60374
1765,61798
1767,63222
1772,64646
1772,66070
1776,67494
1778,68918
1781,70342
1785,71766
1789,73190
1790,74614
1790,76038
1795,77462
1796,78886
1797,80310
1799,81734
1800,83158
1801,84582
1802,86006
1803,87430
1804,88854
1805,90278
1809,91702
1809,93126
1811,94550
1811,95974
1812,97398
1814,98822
1815,100246
1816,101670
1819,103094
1819,104518
1821,105942
1822,107366
1822,108790
1822,110214
1823,111638
1825,113062
1828,114486
1828,115910
1828,117334
1828,118758
1828,120182
1828,121606
1828,123030
1828,124454
1829,125878
1829,127302
1829,128726
1829,130150
1831,131574
1832,132998
1833,134422
1833,135846
1833,137270
1833,138694
1833,140118
1834,141542
1834,142966
1835,144390
1836,145814
1837,147238
1838,148662
1839,150086
