epsilon_progress,nfe
0,0
23,100
188,1100
362,2100
517,3100
626,4100
695,5100
772,6100
840,7100
898,8100
951,9100
994,10630
1166,12310
1267,13990
1359,15670
1436,17350
1506,19030
1586,20710
1656,22390
1726,24070
1805,25750
1855,27430
1923,29110
1965,30790
2000,32470
2044,34150
2077,35830
2109,37510
2144,39190
2183,40870
2205,42550
2226,44230
2243,45910
2262,47590
2277,49270
2294,50950
2309,52630
2321,54310
2335,55990
2350,57670
2361,59350
2368,61030
2374,62710
2383,64390
2393,66070
2403,67750
2410,69430
2418,71110
2424,72790
2430,74470
2437,76150
2441,77830
2444,79510
2448,81190
2452,82870
2459,84550
2463,86230
2469,87910
2477,89590
2483,91270
2486,92950
2493,94630
2493,95830
2509,97430
2527,99030
2541,100630
2553,102230
2565,103830
2580,105430
2587,107030
2595,108630
2603,110230
2611,111830
2615,113430
2622,115030
2624,116630
2627,118230
2630,119830
2634,121430
2634,123030
2639,124630
2642,126230
2649,127830
2651,129430
2655,131030
2657,132630
2658,134230
2661,135830
2661,137430
2665,139030
2669,140630
2671,142230
2673,143830
2679,145430
2684,147030
2686,148630
2692,150230
